caldt,vwretd,vwretx
20080131,-0.061166,-0.062332
20080229,-0.031419,-0.033693
20080331,-0.003400,-0.005054
20080430,0.048629,0.047490
20080530,0.012986,0.010708
20080630,-0.082842,-0.084569
20080731,-0.007306,-0.008738
20080829,0.014955,0.012682
20080930,-0.085467,-0.087287
20081031,-0.166980,-0.168455
20081128,-0.073512,-0.076514
20081231,0.011995,0.009229
20090130,-0.082615,-0.084039
20090227,-0.103588,-0.107402
20090331,0.087634,0.084154
20090430,0.094230,0.092550
20090529,0.054640,0.051848
20090630,0.002476,0.000680
20090731,0.074482,0.073101
20090831,0.034751,0.032255
20090930,0.036534,0.034978
20091030,-0.018259,-0.019458
20091130,0.060257,0.057607
20091231,0.018983,0.017346
20100129,-0.035751,-0.036781
20100226,0.030424,0.028014
20100331,0.061014,0.059430
20100430,0.015977,0.014957
20100528,-0.080111,-0.082337
20100630,-0.053525,-0.055115
20100730,0.070451,0.068620
20100831,-0.045434,-0.047840
20100930,0.090383,0.088751
20101029,0.038726,0.037081
20101130,-0.000051,-0.002571
20101231,0.067054,0.065249
20110131,0.023349,0.022319
20110228,0.032508,0.030251
20110331,0.000625,-0.000867
20110429,0.029441,0.028358
20110531,-0.011313,-0.013573
20110630,-0.016545,-0.018106
20110729,-0.019828,-0.020982
20110831,-0.054322,-0.056734
20110930,-0.070238,-0.071739
20111031,0.109014,0.107554
20111130,-0.002727,-0.005552
20111230,0.009427,0.007613
20120131,0.045205,0.044003
20120229,0.043340,0.040744
20120330,0.032866,0.031282
20120430,-0.006034,-0.007237
20120531,-0.059790,-0.062433
20120629,0.041465,0.039888
20120731,0.014363,0.013096
20120831,0.022744,0.019938
20120928,0.025120,0.023547
20121031,-0.017837,-0.019227
20121130,0.005326,0.002154
20121231,0.008508,0.005902
20130131,0.052361,0.051024
20130228,0.013013,0.010511
20130328,0.037584,0.036025
20130430,0.019621,0.018482
20130531,0.023120,0.020441
20130628,-0.013601,-0.015262
20130731,0.050672,0.049287
20130830,-0.029207,-0.031638
20130930,0.031660,0.030064
20131031,0.046268,0.044953
20131129,0.030817,0.028398
20131231,0.025950,0.024196
20140131,-0.034666,-0.035731
20140228,0.045757,0.043194
20140331,0.008056,0.006537
20140430,0.006555,0.005388
20140530,0.023309,0.020895
20140630,0.020635,0.019048
20140731,-0.013974,-0.015278
20140829,0.039777,0.037446
20140930,-0.013928,-0.015467
20141031,0.023972,0.022800
20141128,0.027631,0.025159
20141231,-0.002473,-0.004249
20150130,-0.029430,-0.030468
20150227,0.057008,0.054305
20150331,-0.014993,-0.016628
20150430,0.009100,0.008004
20150529,0.012522,0.010141
20150630,-0.019343,-0.021020
20150731,0.021297,0.020101
20150831,-0.060086,-0.062433
20150930,-0.024547,-0.026258
20151030,0.083449,0.082049
20151130,0.003373,0.000817
20151231,-0.015247,-0.017076
20160129,-0.049100,-0.050250
20160229,-0.001742,-0.004457
20160331,0.067340,0.065146
20160429,0.003747,0.002576
20160531,0.018487,0.015886
20160630,0.002675,0.001002
20160729,0.036571,0.035324
20160831,0.001247,-0.001396
20160930,0.000446,-0.001033
20161031,-0.017958,-0.019206
20161130,0.035790,0.033007
20161230,0.019200,0.017569
20170131,0.019384,0.018311
20170228,0.039459,0.037052
20170331,0.001664,0.000055
20170428,0.010591,0.009439
20170531,0.014552,0.011920
20170630,0.005798,0.004364
20170731,0.020696,0.019162
20170831,0.002238,-0.000324
20170929,0.020050,0.018742
20171031,0.024158,0.023006
20171130,0.031389,0.028860
20171229,0.011149,0.009851
20180131,0.058060,0.057018
20180228,-0.037661,-0.039702
20180329,-0.025459,-0.027092
20180430,0.003770,0.002656
20180531,0.023800,0.021317
20180629,0.006840,0.005507
20180731,0.037144,0.035970
20180831,0.032938,0.030647
20180928,0.005138,0.003758
20181031,-0.068409,-0.069492
20181130,0.019980,0.017477
20181231,-0.090928,-0.092457
