caldt,t30ret
20080131,0.002430
20080229,0.001325
20080331,0.001869
20080430,0.001025
20080530,0.000946
20080630,0.001750
20080731,0.001440
20080829,0.001282
20080930,0.001530
20081031,0.000792
20081128,0.000228
20081231,0.000029
20090130,0.000023
20090227,0.000147
20090331,0.000159
20090430,0.000125
20090529,0.000017
20090630,0.000075
20090731,0.000119
20090831,0.000116
20090930,0.000079
20091030,0.000040
20091130,0.000004
20091231,0.000062
20100129,0.000028
20100226,0.000010
20100331,0.000068
20100430,0.000111
20100528,0.000112
20100630,0.000127
20100730,0.000142
20100831,0.000126
20100930,0.000125
20101029,0.000112
20101130,0.000114
20101231,0.000140
20110131,0.000066
20110228,0.000122
20110331,0.000067
20110429,0.000053
20110531,0.000013
20110630,0.000035
20110729,-0.000028
20110831,0.000083
20110930,-0.000001
20111031,0.000014
20111130,0.000004
20111230,0.000000
20120131,-0.000002
20120229,0.000031
20120330,0.000046
20120430,0.000029
20120531,0.000065
20120629,0.000022
20120731,0.000032
20120831,0.000050
20120928,0.000067
20121031,0.000037
20121130,0.000085
20121231,0.000103
20130131,0.000022
20130228,0.000054
20130328,0.000041
20130430,0.000037
20130531,0.000012
20130628,0.000013
20130731,0.000009
20130830,0.000009
20130930,0.000008
20131031,0.000017
20131129,0.000032
20131231,0.000023
20140131,0.000012
20140228,0.000045
20140331,0.000028
20140430,0.000015
20140530,0.000008
20140630,0.000020
20140731,0.000013
20140829,0.000003
20140930,0.000004
20141031,0.000012
20141128,-0.000001
20141231,0.000005
20150130,0.000013
20150227,-0.000021
20150331,-0.000008
20150430,0.000029
20150529,-0.000005
20150630,0.000004
20150731,-0.000037
20150831,0.000027
20150930,-0.000006
20151030,-0.000027
20151130,0.000020
20151231,0.000103
20160129,0.000037
20160229,0.000205
20160331,0.000190
20160429,0.000051
20160531,0.000115
20160630,0.000188
20160729,0.000171
20160831,0.000165
20160930,0.000219
20161031,0.000168
20161130,0.000136
20161230,0.000239
20170131,0.000358
20170228,0.000364
20170331,0.000353
20170428,0.000537
20170531,0.000614
20170630,0.000617
20170731,0.000722
20170831,0.000827
20170929,0.000944
20171031,0.000840
20171130,0.000826
20171229,0.000884
20180131,0.001121
20180228,0.001073
20180329,0.000261
20180430,0.001433
20180531,0.001401
20180629,0.001408
20180731,0.001558
20180831,0.001575
20180928,0.001490
20181031,0.001890
20181130,0.001795
20181231,0.001930
